company,company_website,industry,job_title,pub_date,job_url,source
H. Cegielski - Fabryka Pojazdów Szynowych Sp. z o.o.,,,Główny księgowy,2025-09-22,"https://www.pracuj.pl/praca/glowny-ksiegowy-poznan-28-czerwca-1956-r-223-229,oferta,1004368324",pracuj.pl
Personel Projekt,,,Główna Księgowa / Główny Księgowy,2025-09-22,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-rawicz,oferta,1004337498",pracuj.pl
MARBO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,Główna Księgowa / Główny Księgowy,2025-09-22,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-lugwald-pow-olsztynski-183,oferta,1004349163",pracuj.pl
ESA logistika Polska sp. z o. o.,,,Główna Księgowa / Główny Księgowy,2025-09-22,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-gliwice-toszecka-25b,oferta,1004348394",pracuj.pl
Hanyang Polska Sp. z o.o.,,,Główna księgowa / Główny księgowy ze znajomością języka angielskiego,2025-09-22,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-ze-znajomoscia-jezyka-angielskiego-swidnik,oferta,1004348088",pracuj.pl
KOMBUD GROUP SPÓŁKA AKCYJNA,,,Główny Księgowy,2025-09-22,"https://www.pracuj.pl/praca/glowny-ksiegowy-radom,oferta,1004322007",pracuj.pl
Who Else Poland Sp. z o.o.,,,Główny Księgowy / Główna Księgowa,2025-09-22,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-duchnicka-3,oferta,1004357201",pracuj.pl
FunPark,,,Główny księgowy / Główna księgowa,2025-09-23,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-pulawy,oferta,1004327642",pracuj.pl
Michael Page,,,Chief Accountant,2025-09-23,"https://www.pracuj.pl/praca/chief-accountant-warszawa,oferta,1004369624",pracuj.pl
SALES HR,,,Główna Księgowa / Główny Księgowy,2025-09-23,https://pracodawcy.pracuj.pl/company/20396028?pid=1004370770&multiple=true,pracuj.pl
DETEXPOL sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-23,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-rabien-pow-zgierski-okrezna-14,oferta,1004352115",pracuj.pl
Arche Consulting Sp z o.o.,,,Główny Księgowy/ Główna Księgowa,2025-09-23,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-zabrze,oferta,1004355266",pracuj.pl
WASOWICO HR MANAGEMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,Główna Księgowa / Główny Księgowy,2025-09-23,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-gdansk-mialki-szlak-73,oferta,1004369873",pracuj.pl
AGRONEX sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-23,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-makoszyn-pow-lodzki-wschodni-tylna-1,oferta,1004325914",pracuj.pl
DEPILACJA.PL sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-23,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-warszawa,oferta,1004339092",pracuj.pl
HRQ Engineering sp. z o.o.,,,Główna księgowa / Główny księgowy,2025-09-23,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-rawa-mazowiecka,oferta,1004369466",pracuj.pl
Soczewki24.pl,,,Główna Księgowa / Księgowy,2025-09-23,"https://www.pracuj.pl/praca/glowna-ksiegowa-ksiegowy-smolec-pow-wroclawski,oferta,1004369392",pracuj.pl
ARCHAEOLOGICAL PATHS,,,Główny księgowy / Główna księgowa,2025-09-23,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-gdynia-plac-kaszubski-17,oferta,1004325150",pracuj.pl
PERSONNEL RECRUITMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,Główny Księgowy / Główna Księgowa,2025-09-23,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-gdynia,oferta,1004338011",pracuj.pl
Devire,,,Główna Księgowa (m/f),2025-09-23,"https://www.pracuj.pl/praca/glowna-ksiegowa-m-f-olsztyn,oferta,1004368535",pracuj.pl
Rekrutacja pracowników Anna Cichocka,,,Główna Księgowa / Księgowy - produkcja,2025-09-23,https://pracodawcy.pracuj.pl/company/20374986?pid=1004337818&multiple=true,pracuj.pl
GRUPA AZOTY ZAKŁADY FOSFOROWE GDAŃSK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,Główna Księgowa / Główny Księgowy,2025-09-24,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-gdansk-kujawska-2,oferta,1004359381",pracuj.pl
HYVA POLSKA sp. z o.o.,,,Chief Accountant,2025-09-24,"https://www.pracuj.pl/praca/chief-accountant-krakow-pollanki-29g,oferta,1004372874",pracuj.pl
BIO-GRAIN sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa,oferta,1004373521",pracuj.pl
ZAMOŚĆDIS sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-zamosc-prymasa-stefana-wyszynskiego-13,oferta,1004373439",pracuj.pl
MB RADOM Sp. Z o.o.,,,Główna księgowa / Główny księgowy,2025-09-24,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-radom-garbarska-79,oferta,1004343387",pracuj.pl
Zakład Gospodarki Komunalnej i Mieszkaniowej w Policach,,,Zastępca Dyrektora ds. Finansowych – Główny Księgowy,2025-09-24,"https://www.pracuj.pl/praca/zastepca-dyrektora-ds-finansowych-glowny-ksiegowy-police-bankowa-18,oferta,1004358918",pracuj.pl
Goldman Recruitment,,,Główna Księgowa / Główny Księgowy,2025-09-24,https://pracodawcy.pracuj.pl/company/1074092414?pid=1004358911&multiple=true,pracuj.pl
Dynamica Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-24,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-jawornik-pow-myslenicki,oferta,1004343030",pracuj.pl
OCEAN-TECH sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-chwaszczyno-pow-kartuski-kaszubska-droga-13,oferta,1004372999",pracuj.pl
AUTO STREFA SP Z O O,,,Główny Księgowy / Główna Księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wloclawek,oferta,1004358355",pracuj.pl
GOMEZ SPÓŁKA AKCYJNA,,,Główny Księgowy / Główna Księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-suchy-las-pow-poznanski-diamentowa-9,oferta,1004372876",pracuj.pl
FURNIKA Sp. z o. o.,,,Główny księgowy / Główna księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-prudnik-przemyslowa-11,oferta,1004372162",pracuj.pl
NES Fircroft,,,Główny Księgowy / Główna Księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-gliwice,oferta,1004372056",pracuj.pl
"P.P.-H.-U. ""SERAFIN"" sp. z o.o.",,,Główny księgowy / Główna księgowa,2025-09-24,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-szklarka-myslniewska-pow-ostrzeszowski,oferta,1004371994",pracuj.pl
Michael Page,,,Główna Księgowa - międzynarodowa spółka produkcyjna,2025-09-24,"https://www.pracuj.pl/praca/glowna-ksiegowa-miedzynarodowa-spolka-produkcyjna-warszawa,oferta,1004371248",pracuj.pl
"Gmina Długołęka, Gminy Żłobek w Długołęce",,,Główna Księgowa / Główny Księgowy,2025-09-24,https://pracodawcy.pracuj.pl/company/20259389?pid=1004371133&multiple=true,pracuj.pl
Przedsiębiorstwo Budowy Dróg i Mostów Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-24,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-kozlowo-pow-swiecki-8a,oferta,1004337659",pracuj.pl
KANCELARIA BIEGŁEGO REWIDENTA IWONA NAUMCZYK sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-25,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-bialystok,oferta,1004376151",pracuj.pl
LHH Recruitment Solutions,,,Główny Księgowy/Główna Księgowa,2025-09-25,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wroclaw,oferta,1004361827",pracuj.pl
BIZ PARTNER SP. Z O.O.,,,Główny księgowy / Główna księgowa,2025-09-25,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-aleja-prymasa-tysiaclecia-83a,oferta,1004343529",pracuj.pl
Michael Page,,,Główna Księgowa (Spółka produkcyjna),2025-09-25,"https://www.pracuj.pl/praca/glowna-ksiegowa-spolka-produkcyjna-krakow,oferta,1004361321",pracuj.pl
PAŃSTWOWA SZKOŁA MUZYCZNA I I II STOPNIA IM. IGNACEGO JANA PADEREWSKIEGO W STALOWEJ WOLI,,,Główna księgowa,2025-09-25,"https://www.pracuj.pl/praca/glowna-ksiegowa-stalowa-wola-narutowicza-11,oferta,1004375277",pracuj.pl
HALFING & PETERSEN,,,Główna Księgowa / Główny Księgowy,2025-09-25,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-gdynia,oferta,1004374825",pracuj.pl
ANORD MARDIX POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,Główny Księgowy / Główna Księgowa,2025-09-25,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-bielsko-biala,oferta,1004374667",pracuj.pl
ARCHE S.A.,,,Główna Księgowa / Główny Księgowy,2025-09-25,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-muszyna,oferta,1004374374",pracuj.pl
HB OFFICE INWESTYCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,Główny Księgowy / Główna Księgowa,2025-09-25,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-podzamcze-pow-kielecki-gm-piekoszow,oferta,1004374254",pracuj.pl
Michael Page,,,Główna Księgowa (spółka produkcyjna),2025-09-25,"https://www.pracuj.pl/praca/glowna-ksiegowa-spolka-produkcyjna-piaseczno,oferta,1004359765",pracuj.pl
